"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\README.md", "Markdown", 0, 0, 1, 0, 0, 1
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\app.js", "JavaScript", 54, 0, 0, 1, 12, 67
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\config\cloudinary.js", "JavaScript", 9, 0, 0, 0, 3, 12
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\config\db.js", "JavaScript", 13, 0, 0, 0, 4, 17
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\config\vnpay.js", "JavaScript", 19, 0, 0, 1, 8, 28
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\authController.js", "JavaScript", 121, 0, 0, 15, 29, 165
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\buildingController.js", "JavaScript", 121, 0, 0, 3, 19, 143
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\electricInvoiceController.js", "JavaScript", 138, 0, 0, 8, 25, 171
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\feedbackController.js", "JavaScript", 123, 0, 0, 1, 17, 141
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\paymentController.js", "JavaScript", 462, 0, 0, 7, 99, 568
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\registrationController.js", "JavaScript", 512, 0, 0, 29, 87, 628
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\renewalRequestController.js", "JavaScript", 360, 0, 0, 17, 55, 432
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\reportController.js", "JavaScript", 252, 0, 0, 17, 41, 310
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\roomController.js", "JavaScript", 170, 0, 0, 10, 36, 216
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\studentController.js", "JavaScript", 346, 0, 0, 22, 66, 434
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\userController.js", "JavaScript", 100, 0, 0, 6, 25, 131
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\controllers\waterInvoiceController.js", "JavaScript", 114, 0, 0, 8, 19, 141
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\middlewares\invoiceMailer.js", "JavaScript", 283, 0, 0, 13, 41, 337
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\middlewares\uploadImage.js", "JavaScript", 18, 0, 0, 1, 4, 23
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\middlewares\verifyUser.js", "JavaScript", 14, 0, 0, 1, 4, 19
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\models\Admin.js", "JavaScript", 13, 0, 0, 0, 3, 16
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\models\Building.js", "JavaScript", 17, 0, 0, 0, 3, 20
"e:\Manhay\Lessons\Kỳ 2024.2\Đồ án tốt nghiệp\Project\Github\dorm-backend\models\ElectricInvoice.js", "JavaScript", 25, 0, 0, 1, 3, 29
